PLR_ID,PLR_NAME
05200423,Magistratsweg
05200524,Döberitzer Weg
05200525,Pillnitzer Weg
05200526,Rudolf-Wissell-Großsiedlung
05200527,Maulbeerallee
05200528,Weinmeisterhornweg
05200629,Borkumer Straße
05200630,Wilhelmstadt West
05200631,Wilhelmstadt Ost
05200632,Tiefwerder
05200633,Graetschelsteig
05200634,Börnicker Straße
05300735,Haveleck
05300736,Zitadellenweg
05300737,Gartenfelder Straße
05300838,Gartenfeld
05300839,Rohrdamm
05300840,Nonnendammallee
05300841,Siemensdamm
05400942,Alt-Gatow
05400943,Jägerallee
05400944,Kladower Damm
05400945,Kafkastraße
06100101,Fichtenberg
06100102,Schloßstraße
06100103,Markelstraße
06100204,Munsterdamm
06100205,Südende
06100206,Stadtpark
06100207,Mittelstraße
06100208,Bergstraße
06100209,Feuerbachstraße
06100210,Bismarckstraße
06200311,Alt-Lankwitz
06200312,Komponistenviertel Lankwitz
06200313,Lankwitz Kirche
06200314,Kaiser-Wilhelm-Straße
06200315,Gallwitzallee
06200316,Belßstraße
06200317,Lankwitz Süd
06200418,Landweg
06200419,Thermometersiedlung
06200420,Lichterfelde Süd
06200421,Königsberger Straße
06200422,Oberhofer Platz
06200423,Schütte-Lanz-Straße
06300524,Berlepschstraße
06300525,Zehlendorf Süd
06300526,Zehlendorf Mitte
06300527,Sundgauer Straße
06300528,Teltower Damm
06300629,Botanischer Garten
06300630,Hindenburgdamm
06300631,Goerzwerke
06300632,Schweizer Viertel
06300633,Augustaplatz
06300634,Lichterfelde West
06400735,Wannsee
06400736,Düppel
06400737,Nikolassee
06400838,Krumme Lanke
06400839,Fischerhüttenstraße
06400840,Fischtal
06400841,Zehlendorf Eiche
06400842,Hüttenweg
06400843,Thielallee
06400844,Dahlem
07100101,Wittenbergplatz
07100102,Kalckreuthstraße
07100103,Frobenstraße
07100204,Barbarossaplatz
07100205,Alvenslebenstraße
07100206,Großgörschenstraße
07200307,Bayerischer Platz
07200308,Volkspark (Rudolph-Wilde-Park)
07200409,Belziger Straße
07200410,Feurigstraße
07200411,Julius-Leber-Brücke
07200412,Schöneberger Linse
07200413,Cheruskerstraße
07200414,Hohenfriedbergstraße
07300515,Taunusstraße
07300516,Odenwaldstraße
07300517,Perelsplatz
07300618,Ceciliengärten
07300619,Grazer Platz
07400720,Gontermannstraße
07400721,Paradestraße
07400822,Lindenhofsiedlung
07400823,Wittekindstraße
07400824,Bosepark
07400825,Friedrich-Karl-Straße
07400826,Marienhöhe
07400927,Rathaus Tempelhof
07400928,Germaniagarten
07501029,Ringstraße
07501030,Machonstraße
07501031,Eisenacher Straße
07501032,Imbrosweg
07501133,Fritz-Werner-Straße
07501134,Hundsteinweg
07501135,Birnhornweg
07601236,Marienfelder Allee Nordwest
07601237,Kirchstraße
07601238,Marienfelde Nordost
07601339,Tirschenreuther Ring West
07601340,Tirschenreuther Ring Ost
07601341,Diedersdorfer Weg
07601442,Kettinger Straße
07601443,Töpchiner Weg
07601544,John-Locke-Straße
07601545,Nahariyastraße
07601546,Franziusweg
07601547,Horstwalder Straße
07601548,Wittelsbacherstraße
08100101,Hasenheide
08100102,Schillerpromenade Nord
08100103,Schillerpromenade Süd
08100104,Wartheplatz
08100105,Silbersteinstraße
08100206,Flughafenstraße
08100207,Rollberg
08100208,Körnerpark
08100209,Glasower Straße
08100310,Maybachufer
08100311,Reuterplatz
08100312,Weichselplatz
08100313,Bouchéstraße
08100314,Donaustraße
08100415,Ganghoferstraße
08100416,Alt-Rixdorf
08100417,Braunschweiger Straße
08100418,Hertzbergplatz
08100419,Treptower Straße Nord
08100520,Weiße Siedlung
08100521,Schulenburgpark
08200622,Jahnstraße
08200623,Park am Buschkrug
08200624,Tempelhofer Weg
08200725,Mohriner Allee Nord
08200726,Hufeisensiedlung
08200727,Parchimer Allee Süd
08200728,Ortolanweg
08200729,Britzer Garten
08200730,Handwerker-Siedlung
08200831,Buckow West
08200832,Buckow Mitte
08200833,Buckow Ost
08300934,Gropiusstadt Nord-West
08300935,Gropiusstadt Süd-West
08301036,Gropiusstadt Mitte
08301037,Gropiusstadt Süd-Ost
08401138,Goldhähnchenweg
08401139,Vogelviertel Süd
08401140,Vogelviertel Nord
08401241,Blumenviertel
08401242,Zittauer Straße
08401243,Alt-Rudow
08401244,Waßmannsdorfer Chaussee
08401245,Frauenviertel
08401246,Waltersdorfer Chaussee Ost
09100101,Alt-Treptow
09100202,Plänterwald West
09100203,Plänterwald Ost
09100304,Baumschulenweg West
09100305,Baumschulenweg Ost
09100306,Späthsfelde
09100407,Johannisthal West
09100408,Johannisthal Ost
09100409,Landschaftspark Adlershof
09200510,Helmholtz-Kiez
09200511,Griechischer Park
09200512,Wuhlheide
09200613,Bahnhof Schöneweide
09200614,Oberspree
09200715,Wista
09200716,Dörpfeldstraße West
09200717,Dörpfeldstraße Ost
09200818,Spindlersfeld
09200819,Köllnische Vorstadt
09300920,Dorf Altglienicke
09300921,Preußen Siedlung
09300922,Kosmos Viertel
09300923,Kölner Viertel
09301024,Falkenberg
09301025,Alt-Bohnsdorf
09301126,Grünau
09301227,Karolinenhof
09301228,Schmöckwitz/Rauchfangswerder
09401329,Kietzer Feld/Nachtheide
09401330,Wendenschloß
09401431,Allende I
09401432,Siedlung Kämmereiheide
09401433,Allende II
09401534,Altstadt Köpenick
09401635,Müggelheim
09501736,Hirschgarten
09501737,Alt-Friedrichshagen
09501838,Rahnsdorf
09501939,Bahnhofstraße
09501940,Güterbahnhof Köpenick
09501941,Friedrichshagener Straße
09502042,Mittelheide
09502043,Dammheide
10100101,Marzahn West
10100102,Rosenbecker Straße
10100103,Wittenberger Straße
10100104,Golliner Straße
10100205,Gewerbegebiet Bitterfelder Straße
10100206,Wuhletalstraße
10100207,Ahrensfelder Berge
10100208,Bürgerpark
10100209,Lea-Grundig-Straße
10100210,Marzahner Promenade
10100311,Marzahner Chaussee
10100312,Springpfuhl
10100313,Alt-Marzahn
10100314,Auersbergstraße
10100315,Bärenstein
10100316,Landsberger Tor
10200417,Zossener Straße
10200418,Kyritzer Straße
10200419,Havelländer Ring
10200420,Gut Hellersdorf
10200421,Helle Mitte
10200422,Hellersdorfer Promenade
10200423,Böhlener Straße
10200524,Adele-Sandrock-Straße
10200525,Schleipfuhl
10200526,Boulevard Kastanienallee
10200627,Am Kienberg
10200628,Neue Grottkauer Straße
10200629,Teterower Ring
10200630,Cecilienplatz
10300731,Oberfeldstraße
10300732,Buckower Ring
10300733,Alt-Biesdorf
10300734,Biesdorf Süd
10400835,Kaulsdorf Nord
10400836,Alt-Kaulsdorf
10400837,Kaulsdorf Süd
10400938,Mahlsdorf Nord
10400939,Alt-Mahlsdorf
10400940,Elsensee
10400941,Pilgramer Straße
11100101,Dörfer Malchow-Wartenberg
11100102,Dorf Falkenberg
11100203,Falkenberg Ost
11100204,Falkenberg West
11100205,Wartenberg Süd
11100206,Wartenberg Nord
11100307,Zingster Straße Ost
11100308,Zingster Straße West
11100309,Mühlengrund
11200410,Malchower Weg
11200411,Hauptstraße
11200512,Orankesee
11200513,Große-Leege-Straße
11200514,Landsberger Allee
11200515,Weiße Taube
11300616,Hohenschönhauser Straße
11300617,Fennpfuhlpark
11300618,Storkower Bogen
11300619,Rudolf-Seiffert-Park
11300620,Fennpfuhl Ost
11300721,Herzbergstraße
11300722,Rathaus Lichtenberg
11300723,Bornitzstraße
11300724,Roedeliusplatz
11300725,Nibelungenviertel
11300826,Frankfurter Allee Süd
11400927,Victoriastadt
11400928,Nöldnerplatz
11400929,Weitlingkiez
11400930,Zachertstraße
11400931,Massower Straße
11401032,Rosenfelder Ring
11401033,Gensinger Straße
11401034,Tierpark
11401135,Dolgenseestraße
11401136,Volkradstraße
11401137,Erieseering
11501238,Rummelsburg
11501339,Karlshorst West
11501340,Karlshorst Nord
11501341,Karlshorst Süd
12100101,Letteplatz
12100102,Hausotterplatz
12100103,Breitkopfbecken
12100204,Schäfersee
12100205,Teichstraße
12100206,Humboldtstraße
12200307,Reinickes Hof
12200308,Meller Bogen
12200309,Scharnweberstraße
12200310,Klixstraße
12200411,Schumacher-Quartier
12200412,Waldidyll/Flughafensee
12200413,Tegel Süd
12200414,TXL
12200515,Alt-Tegel
12400616,Konradshöhe/Tegelort
12400617,Alt-Heiligensee
12400618,Heiligensee Nord
12400619,Heiligensee
12400720,Frohnau West
12400721,Frohnau Ost
12400722,Hermsdorf West
12400723,Hermsdorf Ost/Waldsee
12500824,Ziekowstraße/Freie Scholle
12500825,Borsigwalde
12500926,Wittenau Mitte
12500927,Wittenau Nord
12500928,Waidmannslust
12500929,Lübars
12500930,Wittenau Süd
12601031,Lübarser Straße
12601032,Rollbergesiedlung
12601133,Treuenbrietzener Straße
12601134,Märkisches Zentrum
12601235,Dannenwalder Weg
12601236,Schorfheidestraße
